Fighter Name,Sum of TD Avg,Sum of TD Acc,Sum of TD Def,Sum of Sub. Avg
"Antigulov, Gadzhimurad",8.70,0.41,0.00,3.50
"Arzamendia, Cesar",7.32,0.75,0.00,2.40
"O'Brien, Jake",6.39,0.54,0.25,0.20
"Amagov, Adlan",5.84,0.56,1.00,0.00
"Saadulaev, Yusup",5.73,0.60,0.00,1.00
"Anderson, Corey",4.96,0.50,0.83,0.00
"Alexander, Kenneth",4.71,0.26,0.00,0.00
"Allen, Brendan",4.43,0.25,1.00,4.40
"Asker, Cyril",4.41,0.62,1.00,0.90
"Askren, Ben",4.39,0.50,0.00,4.40
"Azure, Hunter",4.00,0.36,0.00,5.00
"Almeida, Ricardo",3.74,0.38,0.31,1.20
"Abedi, Papy",3.47,0.57,0.50,1.30
"Amirkhani, Makwan",3.47,0.48,0.57,1.60
"Moreira, Vinicius",3.24,0.18,0.00,2.20
"Andrade, Jessica",3.22,0.58,0.76,0.50
"Ambriz, Jimmy",3.13,0.57,1.00,0.80
"Albu, Alexandra",3.05,0.55,0.75,0.60
"Arrab, Chalid",3.05,0.75,0.37,1.00
"Earwood, Ben",3.00,1.00,0.00,0.00
"Labasanov, Achmed",3.00,1.00,0.00,0.80
"Vaculik, Richie",3.00,0.45,0.31,1.00
"Alvarez, Eddie",2.92,0.36,0.92,0.50
"Backstrom, Niklas",2.92,0.80,0.72,2.20
"Araujo, Viviane",2.91,1.00,1.00,0.00
"Cabral, Yan",2.89,0.35,0.37,1.20
"Andrews, Dylan",2.83,0.50,0.57,0.40
"Uda, Alberto",2.83,0.50,0.66,0.00
"Aldana, Gilbert",2.57,0.40,0.33,0.00
"Arroyo, Antonio",2.55,0.36,0.00,0.60
"Allan, John",2.54,0.66,0.57,1.90
"Aoki, Shinya",2.54,0.41,0.60,4.00
"Akhmedov, Omari",2.51,0.48,0.58,0.30
"Aram, Romie",2.50,0.62,0.83,0.00
"Assuncao, Junior",2.43,0.24,0.66,0.70
"Arona, Ricardo",2.41,0.48,0.58,1.20
"Avena, Blas",2.37,0.80,0.50,1.80
"Aubin-Mercier, Olivier",2.36,0.33,0.70,0.50
"Akiyama, Yoshihiro",2.29,0.67,0.92,1.00
"Azevedo, Luciano",2.28,0.11,0.00,0.00
"Alers, Jim",2.26,0.41,0.80,0.30
"Abreu, Ricardo",2.13,0.42,1.00,0.70
"Arroyo, Matt",2.12,0.36,1.00,5.30
"Xavier, Rubens",2.10,0.40,0.25,1.10
"Akman, Rostem",2.00,0.40,0.83,0.00
"Alcantara, Ildemar",2.00,0.68,0.81,0.90
"Assis, Bruno",2.00,0.50,0.66,1.00
"Jabouin, Yves",1.94,0.60,0.82,0.10
"Andrade, Viscardi",1.93,0.50,0.66,0.30
"Anzai, Shinsho",1.83,0.16,0.75,0.00
"Alessio, John",1.78,0.36,0.72,1.00
"Aliev, Sultan",1.76,0.38,1.00,0.00
"Anders, Eryk",1.73,0.40,0.75,0.10
"Aurelio, Marcus",1.69,0.27,0.27,1.30
"Allen, Arnold",1.60,0.56,0.70,0.50
"Albini, Junior",1.54,0.37,1.00,0.00
"Alcantara, Iuri",1.44,0.62,0.60,0.80
"Yadong, Song",1.44,1.00,1.00,1.00
"Assuncao, Raphael",1.38,0.36,0.79,0.30
"Abdurakhimov, Shamil",1.34,0.24,0.66,0.20
"Aldana, Hector",1.21,1.00,0.00,0.00
"Alexander, Houston",1.19,0.57,0.33,0.00
"Abbott, David",1.07,0.33,0.66,0.00
"Arreola, Akbarh",1.07,1.00,0.33,0.40
"Azeredo, Luiz",1.07,0.50,0.45,0.30
"Alves, Warlley",1.06,0.44,0.80,0.80
"Radach, Benji",1.06,0.41,0.71,0.40
"Faaloloto, Edward",1.01,0.25,0.33,0.00
"Alvarez, Jaime",1.00,0.33,0.50,0.00
"Atajev, Bazigit",1.00,0.33,0.00,0.00
"Azaitar, Abu",1.00,1.00,0.25,0.00
"Adams, Juan",0.97,0.66,0.57,0.00
"Aguilar, Jessica",0.94,0.25,0.50,0.20
"Arantes, Felipe",0.93,0.47,0.41,0.70
"Araujo, Igor",0.86,0.15,0.22,0.60
"Audinwood, Pat",0.80,0.50,0.00,0.00
"Attonito, Rich",0.74,0.37,0.75,0.00
"Zachrich, Luke",0.74,0.33,1.00,1.00
"Alves, Thiago",0.71,0.60,0.62,0.30
"Iaquinta, Al",0.69,0.20,0.73,0.30
"Aldo, Jose",0.67,0.65,0.92,0.20
"Andy, Reese",0.67,0.20,0.40,0.00
"Al-Hassan, Razak",0.65,0.14,0.57,0.00
"Anyanwu, Zu",0.65,1.00,0.00,0.00
"Alloway, Benny",0.62,0.50,0.26,0.00
"Arlovski, Andrei",0.53,0.36,0.79,0.30
"Abreu, Klidson",0.50,0.12,0.75,0.00
"Almeida, Ericka",0.50,0.33,0.37,0.00
"Awad, Saad",0.50,0.16,1.00,0.50
"Arce, Julio",0.48,0.28,0.93,0.70
"Ankalaev, Magomed",0.45,0.33,0.83,0.00
"Arnett, Austin",0.44,0.18,0.57,0.20
"Askham, Scott",0.44,0.18,0.65,0.70
"Alexandre Junior, Marcio",0.35,0.20,0.66,0.70
"Aldana, Irene",0.34,0.50,0.93,0.20
"Anderson, Derek",0.34,0.14,0.60,0.00
"Abe, Daichi",0.33,0.50,0.00,0.00
"Acacio, Daniel",0.33,0.20,0.81,0.00
"Ansaroff, Nina",0.29,0.40,0.77,0.60
"Aguilar, Kevin",0.25,0.50,0.86,0.00
"Aldrich, JJ",0.22,0.16,0.58,0.00
"Alvey, Sam",0.09,0.16,0.82,0.10
"Aaron, Tom",0.00,0.00,0.00,0.00
"Abbadi, Danny",0.00,0.00,0.77,0.00
"Abe, Hiroyuki",0.00,0.00,0.33,0.00
"Adams, Anthony",0.00,0.00,0.00,0.00
"Adams, Scott",0.00,0.00,0.00,0.00
"Adesanya, Israel",0.00,0.00,0.85,0.50
,,,,
"Adkins, Sam",0.00,0.00,0.00,0.00
"Agallar, Nick",0.00,0.00,0.00,0.00
"Agapova, Mariya",0.00,0.00,0.00,0.00
"Aguiar, Marcelo",0.00,0.00,0.00,0.00
"Aguilar, Edwin",0.00,0.00,0.00,0.00
"Aina, Mike",0.00,0.00,0.71,0.00
"Akano, Hitomi",0.00,0.00,0.08,0.50
"Alanis, Javi",0.00,0.00,0.00,0.00
"Albee, Brett",0.00,0.00,0.00,0.00
"Albert, John",0.00,0.00,0.50,6.10
"Albritton, Wes",0.00,0.00,0.00,0.00
"Albuquerque, Israel",0.00,0.00,0.00,0.00
"Alcain, Juan",0.00,0.00,0.00,0.00
"Alcarez, Alfonso",0.00,0.00,0.00,0.00
"Alfonso, Olaf",0.00,0.00,0.22,0.60
"Alfonso, Pablo",0.00,0.00,0.00,0.00
"Alford, Levi",0.00,0.00,0.00,0.00
"Algeo, Bill",0.00,0.00,0.62,0.00
"Alger, Royce",0.00,0.00,0.00,0.00
"Aliakbari, Amir",0.00,0.00,0.00,0.00
"Allen, George",0.00,0.00,0.50,0.00
"Almeida, Estefani",0.00,0.00,0.00,0.00
"Almeida, Magno",0.00,0.00,0.40,5.00
"Almeida, Thomas",0.00,0.00,0.75,0.00
